Route;A2P
Alcasagar_Hub_Bulk;3
Globahub_Hub_Bulk;4
TMB_WS_Hub_Bulk;5
TMB_DIR_Hub_Bulk;6
Inmobiles_Hub_Bulk;7
Test_IND_Jio_Hub_Bulk;8
Kaleyra_Hub_Bulk;2875
BSG_Estonia_Hub_Bulk;2220
Telenor_trans_Hub_Bulk;9
Telenor_transEUR_Hub_Bulk;13
MAR_MarocTelecom_60401_Bulk;60401
KOR_KT_45008_Bulk;45008
Nedimix_Hub_Bulk;1176
NTEC_Hub_Bulk;1177
TelecelGlobal_Hub_Bulk;1178
Etisalat2_Hub_Bulk;1179
Alibaba_OTP_Hub_Bulk;1180
Alibaba_promo_Hub_Bulk;1181
Turk_Telekom_Int_Hub_Bulk;1182
Turk_Telekom_Int2_Hub_Bulk;1183
MNE_CrnogorskiTelekom_29702_Bulk;1184
UniversalCall_DIR_Hub_Bulk;2222
UniversalCall_Hub_Bulk;2223
MN-GWID-Banglalink-TestTraf-BGD;47099
MN-GWID-Banglalink-BGD;47003
MN-GWID-A1-SVN;29340
BGD_Banglalink_47003_Bulk;109
HayoTelecom_Hub_Bulk;110
DeutscheTelecom3_Hub_Bulk;111
DigiTouch_Hub_Bulk;112
WAYVZ_HQ_Hub_Bulk;113
Globahub7_Hub_Bulk;114
Montnets_Dir_Hub_Bulk;115
Montnets_HQ_Hub_Bulk;116
Globahub8_Hub_Bulk;117
Bankai_0Hop_Hub_Bulk;118
LAO_StarTelecom_45703_Bulk;45703
SmartcomTech_Hub_Bulk;1445
SmartcomTech_DIR_Hub_Bulk;1446
COL_Tigo_732111_Bulk;1447
MN-GWID-019Mobile-ISR;1448
Telia_Hub_Bulk;2224
FIN_DNA_Finnet_24412_Bulk;24412
Etisalat3_Hub_Bulk;101
DottTelecom2_Hub_Bulk;1011
Sinch_LN_MT_Hub_int;102
MontyMobile_Hub_Bulk;10
Comtel_Hub_Bulk;11
AMDTelecom_Hub_Bulk;1217
Mobizone_Hub_Bulk;1205
SRB_VIP_22005_Bulk;1206
MKD_VIP_29403_Bulk;29403
VNM_Mobifone_45201_Bulk;45201
ISR_HotMobile_42507_Bulk;42507
ISR_Golan_42508_Bulk;42588
ISR_Xphone_42509_Bulk;42509
MN-GWID-VIP-SRB;22005
MN-GWID-Telemach-SVN;29370
MITTO_Hub_Bulk;12
DekSoft_Not_Direct_Hub_Bulk;14
Perito2_Hub_Bulk;3333
Karix_Hub_Bulk;3334
Wavecell_Local_Hub_Bulk;3335
Perito4_Hub_Bulk;3336
UA_3mob_25507_Bulk;3338
CHN_ChinaTelecomGlobal_46011_Bulk;46011
SIA_Vertex_LV1_Hub_Bulk;15
Silverstreet_BV_Hub_Bulk;16
Silverstreet_DIR_Hub_Bulk;26
CMTelecom2_Hub_Bulk;27
UA_TSU3_25521_Bulk;2282
UA_TSU4_25521_Bulk;2283
Airtel_Local_Hub_Bulk;28
Karix2_Hub_Bulk;29
Sinch2_Hub_Bulk;30
Mobishastra_Hub_Bulk;31
MrMessaging_Hub_Bulk;32
Sybase_Hub_Bulk;17
DeutscheTelecom2_Hub_Bulk;18
PER_Movistar_71606_Bulk;71606
TIS_OH_Hub_Bulk;19
TIS_WS_Hub_Bulk;20
Alienics_Hub_Bulk;21
BringoGroup2_Hub_Bulk;22
PAK_Ufone5_41003_Bulk;23
OpenMarket_Hub_Bulk;24
Antwerp_Sim_HUB_Bulk;25
TATA3_Hub_Bulk;33
Karix3_Hub_Bulk;34
BringoGroup_Hub_Bulk;35
Telecall_Hub_Bulk;36
Akton_Hub_Bulk;37
RouteMobile_Hub_Bulk;90
MITTO_DIR_Hub_Bulk;91
TATA2_Hub_Bulk;92
Citic_Hub_Bulk;93
TATA_DIR_TOR_MON_Hub_Bulk;94
KDDI_Not_Direct_Hub_Bulk;95
KDDI_DIR_Hub_Bulk;96
HGC_Hub_Bulk;97
Acmetel_Hub_Bulk;98
ByteDance_Hub_Bulk;103
Bankai_Direct_Hub_Bulk;104
Lleida_Hub_Bulk;105
Montnets_Hub_Bulk;106
DottTelecom_prem_Hub_Bulk;107
Etisalat4_Hub_Bulk;108
SAMA_Hub_Bulk;99
ROU_TelecomRomania2_22603_Bulk;1101
Syniverse_Direct_Hub_Bulk;1102
Syniverse_Hub_Bulk;1103
Sinch_Hub_Bulk;1104
DekSoft_Hub_Bulk;1105
Horisen_Not_Direct_Hub_Bulk;1106
Devino_Direct_Hub_Bulk;1107
Horisen_Direct_Hub_Bulk;1108
LanckTelecom_Hub_Bulk;1110
LanckTelecom_DIR_Hub_Bulk;1111
MMD_Smart_Hub_Bulk;1112
Etisalat_Hub_Bulk;1113
eLux_Hub_Bulk;1114
LanckTelecom2_DIR_Hub_Bulk;1115
Mobizone_WS_Hub_Bulk;1116
MN-GWID-Etisalat-HUB;1117
MN-GWID-Telenor-HUB;1118
Tele2_HUB_Bulk;1119
Orange_Hub_Bulk;1120
TIS_DIR_Hub_Bulk;1121
Nexmo_Direct_HUB_Bulk;1122
DottTelecom_Hub_Bulk;1139
Viettel2_HUB_Bulk;1140
Orange_CM_Hub_BulkGV;1141
Orange_TR_Hub_BulkGV;1142
Orange_WS_Hub_BulkGV;1143
OnlineCity_Hub_Bulk;1144
Protel_Hub_Bulk;1145
Milagro_Telecom_Hub_Bulk;1146
Milagro_Telecom_DIR_Hub_Bulk;1147
Telebiz_Hub_Bulk;1148
QXTEL_Hub_Bulk;1149
IDT2_Hub_Bulk;1150
Mediafon_Hub_Bulk;1151
Apifonica_Hub_Bulk;1152
NetConnect_Hub_Bulk;1153
Nexmo_Not_Direct_HUB_Bulk;1123
Telin_Hub_Bulk;1234
IGSL_Hub_Bulk;7558
CMTelecom_Hub_Bulk;1235
Sunrise_Special_Hub_Bulk;1236
NextMobile3_Hub_Bulk;1237
Altan_Hub_Bulk;1238
Kaleyra_WS_Hub_Bulk;1239
TNSPlus_Hub_Bulk;1240
Globe_Teleservices_DIR_Hub_Bulk;1241
Globe_Teleservices_Hub_Bulk;1242
ChinaMobile_Hub_Bulk;1124
ChinaMobile2_Hub_Bulk;2775
ChinaMobile2_Hub_BulkGV;2776
ChinaMobile3_Hub_BulkGV;2777
Airtel_Hub_Bulk;1125
NTH_Hub_Bulk;1126
MontyMobileDIR_Hub_Bulk;1128
MN-GWID-Vodafone-HUB;1129
MFMSolutions_Hub_Bulk;1130
Cequens_Hub_Bulk;1132
BICS_Hub_Bulk;1131
Acmetel2_DIR_Hub_Bulk;1134
Viettel3_HUB_Bulk;1136
MOV_HUB_Bulk;1137
MOV2_HUB_Bulk;1138
NikitaMobile_Hub_Bulk;1156
NikitaMobile2_Hub_Bulk;1157
PAK_Zong3_41004_Bulk;1189
Scarpel_Hub_Bulk;1190
MessageBird_Hub_Bulk;1191
MessageBird_Special_Hub_Bulk;1133
Acmetel_DIR_Hub_Bulk;1192
Infobip_Hub_Bulk;1193
RacutenViber_Hub_Bulk;1194
RacutenViber2_Hub_Bulk;1100
Telin3_Hub_Bulk;1195
Telefonica_Hub_Bulk;1196
Cakra_DIR_HUB_Bulk;1197
Cakra_Hub_Bulk;1198
Ritorica_Hub_Bulk;1201
Mobizone_DIR_Hub_Bulk;1204
Perito_Hub_Bulk;1203
Perito3_Hub_Bulk;4444
MN-GWID-Smart-PHL;1199
KDDI2_DIR_Hub_Bulk;3000
